N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Fertilizer Name,NPK_Distance_Score
176,7.5,539,7.54,0.65,0.47,6.9,0.35,3.54,0.85,9.05,0.18,0,25,50,40,Clayey,Pulses,DAP,94.7807243859552
188,6.4,496,7.59,0.48,0.35,7.2,0.34,2.76,1,9.76,0.11,0,25,50,40,Clayey,Pulses,14-35-14,87.3265374426524
88,6.8,539,7.43,0.52,0.53,4.4,0.25,2.84,0.83,9.84,0.12,0,25,50,40,Clayey,Pulses,10-26-26,93.8915721642371
82,7.5,507,7.61,0.47,0.5,11.3,0.37,2.96,0.94,8.94,0.17,0,25,50,40,Clayey,Pulses,Urea,88.1072891925416
169,5.9,338,7.57,0.41,0.65,8.6,0.27,3.15,0.99,9.09,0.19,0,25,50,40,Clayey,Pulses,14-35-14,59.16042416582
245,6.1,496,7.42,0.58,0.24,2.5,0.24,2.84,0.94,7.73,0.07,0,25,50,40,Clayey,Pulses,28-28,88.3604452257991
270,7.9,253,7.48,0.57,0.59,3.1,0.24,2.49,0.52,7.74,0.14,1,30,59,31,Red,Tobacco,10-26-26,47.8977752250586
345,8.1,338,7.31,0.41,0.85,6,0.34,2.42,0.65,8.64,0.15,1,30,59,31,Red,Tobacco,Urea,64.4877927700258
333,7.7,275,7.54,0.55,0.47,7.5,0.36,2.53,0.46,8.66,0.18,1,30,59,31,Red,Tobacco,DAP,54.047270836623
282,6.8,306,7.29,0.62,0.44,6.4,0.27,2.65,0.57,8.45,0.1,1,30,59,31,Red,Tobacco,20-20,56.9271722461297
282,8.3,486,7.47,0.51,0.71,3.2,0.26,2.66,0.64,8.57,0.14,1,25,50,40,Clayey,Pulses,urea,87.4390366384462
270,8.1,296,7.41,0.63,0.76,4.2,0.34,2.48,0.63,8.67,0.15,1,30,59,31,Red,Tobacco,Urea,54.85578127719
289,6.1,359,7.39,0.58,0.44,6,0.33,2.36,0.66,7.73,0.09,1,30,59,31,Red,Tobacco,DAP,65.9567329047832
201,7.5,391,7.41,0.54,0.53,7.2,0.23,2.38,0.77,7.84,0.22,0,25,50,40,Clayey,Pulses,14-35-14,69.0906420893673
213,8.3,444,7.35,0.67,0.88,6.3,0.26,2.28,0.48,8.44,0.24,0,25,50,40,Clayey,Pulses,28-28,78.6070878035106
270,6.4,539,7.57,0.61,0.26,4.8,0.27,2.47,0.52,6.95,0.21,1,25,50,40,Clayey,Pulses,Urea,96.3962969484779
207,5.9,348,7.54,0.59,0.29,3,0.37,3.44,0.64,7.46,0.18,0,25,50,40,Clayey,Pulses,17-17-17,61.7629997770179
295,8.3,602,7.68,0.51,0.62,3.1,0.34,2.54,0.43,7.32,0.1,1,25,50,40,Clayey,Pulses,20-20,107.930426746793
251,5.3,338,7.73,0.57,0.82,3.2,0.23,2.68,0.44,7.24,0.09,0,30,59,31,Red,Tobacco,Urea,61.2542729509434
276,6.8,507,7.51,0.41,0.5,4,0.24,2.67,0.57,6.44,0.18,1,25,50,40,Clayey,Pulses,28-28,90.9448381056832
163,7.5,359,7.62,0.67,0.47,4.5,0.24,2.75,0.64,6.56,0.21,0,25,50,40,Clayey,Pulses,14-35-14,62.7200700785864
213,7,327,7.71,0.67,0.74,5.1,0.25,3.46,0.76,8.47,0.1,0,25,50,40,Clayey,Pulses,DAP,58.3052034720695
207,6.1,454,7.4,0.43,0.12,2.5,0.35,3.93,0.88,8.68,0.06,0,25,50,40,Clayey,Pulses,17-17-17,80.2465818772631
200,6.8,391,7.67,0.72,0.35,3,0.37,2.93,0.96,8.65,0.07,0,25,50,40,Clayey,Pulses,Urea,69.0698465887301
301,7.2,412,7.71,0.64,0.32,4,0.29,2.63,0.83,7.76,0.09,1,30,59,31,Red,Tobacco,28-28,75.2607429465298
188,6.4,422,7.78,0.56,0.53,4.2,0.23,2.72,0.43,7.74,0.08,0,25,50,40,Clayey,Pulses,DAP,74.2646783850466
201,7.5,465,7.71,0.48,0.5,5.1,0.22,2.87,0.72,7.72,0.18,0,25,50,40,Clayey,Pulses,17-17-17,82.0700395492595
207,5.9,243,7.62,0.45,0.76,7.2,0.24,2.47,0.73,7.63,0.21,0,30,59,31,Red,Tobacco,Urea,43.9243332473655
307,6.6,401,7.53,0.71,0.82,3,0.34,2.93,0.67,7.84,0.24,1,30,59,31,Red,Tobacco,28-28,73.5781234192621
207,7.7,380,7.64,0.67,0.26,4.2,0.26,3.93,0.68,8.85,0.27,0,25,50,40,Clayey,Pulses,Urea,67.3063135347605
326,8.3,285,7.38,0.82,0.88,4.3,0.27,3.63,0.63,8.96,0.18,1,30,59,31,Red,Tobacco,DAP,55.2923644692824
270,6.8,296,7.59,0.33,0.56,5.1,0.26,3.74,0.74,8.73,0.15,1,30,59,31,Red,Tobacco,20-20,54.8570755817417
195,4.8,496,7.43,0.67,0.85,3.5,0.27,2.45,0.74,6.73,0.18,0,25,50,40,Clayey,Pulses,17-17-17,87.4400864300629
182,8.3,338,7.61,0.58,0.88,4.2,0.26,2.56,0.71,7.83,0.16,0,25,50,40,Clayey,Pulses,DAP,59.4395819641581
295,4.8,348,7.77,0.61,0.24,2.5,0.25,2.84,0.12,7.73,0.07,1,30,59,31,Red,Tobacco,Urea,64.3168459276799
151,7.5,327,7.63,0.73,0.29,4.8,0.33,2.49,0.63,7.23,0.18,0,25,50,40,Clayey,Pulses,20-20,56.8707430734941
333,5.9,391,7.44,0.66,0.26,5,0.26,3.51,0.25,7.35,0.15,1,30,59,31,Red,Tobacco,28-28,72.7323874777024
157,6.4,327,7.45,0.34,0.5,5.1,0.35,2.56,0.14,8.75,0.14,0,25,50,40,Clayey,Pulses,14-35-14,56.9897899006749
370,5,496,7.62,0.41,0.76,6.2,0.34,2.44,0.25,8.36,0.09,1,30,59,31,Red,Tobacco,Urea,91.5229067771976
163,5.9,317,7.43,0.38,0.59,3.5,0.34,3.43,0.16,8.32,0.1,0,25,50,40,Clayey,Pulses,DAP,55.366600003072
377,6.8,327,7.51,0.85,0.26,4,0.25,3.63,1.08,7.84,0.13,1,30,59,31,Red,Tobacco,20-20,64.0593289685809
264,7.9,391,7.34,0.61,0.24,3,0.25,2.44,0.22,7.44,0.21,1,25,50,40,Clayey,Pulses,28-28,70.6361355946484
358,7.2,359,7.49,0.67,0.5,2.5,0.26,2.64,0.29,7.55,0.19,1,30,59,31,Red,Tobacco,DAP,68.3775437918784
320,4.6,422,7.38,0.53,0.76,6,0.24,2.74,0.18,7.66,0.07,1,30,59,31,Red,Tobacco,Urea,77.5177609817072
126,7.5,444,7.67,0.7,0.74,7.1,0.35,2.43,1.96,7.77,0.1,0,25,50,40,Clayey,Pulses,14-35-14,77.2259327853764
333,6.8,327,7.53,0.62,0.38,3.5,0.26,3.44,0.45,7.84,0.12,1,30,59,31,Red,Tobacco,28-28,62.2508102075613
213,8.6,348,7.62,0.64,0.15,4,0.27,3.45,0.86,8.43,0.13,0,25,50,40,Clayey,Pulses,Urea,61.9106172310735
245,5.9,285,7.61,0.71,0.24,4.8,0.34,2.56,0.1,7.54,0.15,0,30,59,31,Red,Tobacco,14-35-14,52.1747007381315
157,5,401,7.58,0.45,0.21,3.5,0.32,2.67,0.64,7.45,0.19,0,25,50,40,Clayey,Pulses,DAP,70.0211925766851
213,5.7,507,7.66,0.63,0.47,4.8,0.33,2.74,0.73,7.68,0.18,0,25,50,40,Clayey,Pulses,17-17-17,89.6864457156349
82,7.5,391,7.65,0.78,0.76,6,0.27,4.44,0.83,7.73,0.21,0,25,50,40,Clayey,Pulses,DAP,67.3012223408506
195,5.9,422,7.66,0.53,0.74,7.1,0.27,3.44,0.43,8.74,0.25,0,25,50,40,Clayey,Pulses,20-20,74.397264959852
100,6.8,560,7.71,0.67,1.03,6.2,0.38,2.45,1.54,8.25,0.07,0,25,50,40,Clayey,Pulses,14-35-14,97.7434756061247
238,5.7,454,7.61,0.62,1.09,3.5,0.34,2.56,1.1,7.36,0.14,0,25,50,40,Clayey,Pulses,28-28,80.8773525280895
213,59.2,539,7.54,0.44,0.82,4,0.33,2.67,0.64,7.58,0.1,0,34,65,45,Clayey,Paddy,Urea,95.3775901231163
6,7.2,285,7.42,0.53,0.82,2.8,0.34,2.68,0.73,7.34,0.12,0,25,50,40,Clayey,Pulses,DAP,47.8936285371311
257,6.4,243,7.43,0.58,0.26,3.9,0.34,3.74,0.84,8.94,0.13,0,30,59,31,Red,Tobacco,14-35-14,45.7797146333541
188,5.7,317,7.52,0.62,0.29,4.2,0.25,3.43,0.09,8.84,0.08,0,25,50,40,Clayey,Pulses,20-20,55.9430336955366
144,8.3,296,7.47,0.58,0.53,3.5,0.24,3.43,0.93,7.45,0.09,0,25,50,40,Clayey,Pulses,28-28,51.2973678381463
238,6.8,327,7.54,0.43,0.79,4.8,0.35,2.44,0.93,7.36,0.09,0,30,59,31,Red,Tobacco,Urea,59.0075355214366
157,5,444,7.33,0.59,0.76,6.2,0.34,2.45,0.83,7.98,0.18,0,25,50,40,Clayey,Pulses,14-35-14,77.6382814565696
195,6.8,391,7.48,0.37,0.15,3.5,0.23,2.56,0.62,7.35,0.1,0,25,50,40,Clayey,Pulses,28-28,68.9648524765927
63,5.9,454,7.53,0.65,0.12,6,0.23,3.43,0.43,8.24,0.18,0,25,50,40,Clayey,Pulses,20-20,78.4752718742108
238,7.2,444,7.51,0.58,0.1,5.43,0.38,7.05,1.56,8.63,0.73,0,25,50,40,Clayey,Pulses,Urea,79.1343003153398
163,7.5,560,7.43,0.59,0.49,7.54,0.51,4.63,0.85,12.84,0.48,0,25,50,40,Clayey,Pulses,DAP,98.3533927400882
232,6.1,391,7.47,0.63,0.2,10.26,0.6,8.02,1.53,9.63,0.32,0,25,50,40,Clayey,Pulses,17-17-17,69.8028285032616
132,6.8,327,7.71,0.61,0.59,5.13,0.79,6.32,1.87,7.51,0.55,0,25,50,40,Clayey,Pulses,28-28,56.5277307709149
207,7.5,444,7.64,0.44,0.39,8.75,0.53,5.5,1.25,13.25,0.42,0,25,50,40,Clayey,Pulses,Urea,78.4896283927548
195,8.1,327,7.62,0.62,0.29,6.33,0.48,9.06,0.63,18.54,0.25,0,25,50,40,Clayey,Pulses,20-20,57.8398246924529
138,6.6,317,7.53,0.53,1.07,11.16,0.35,7.51,0.8,11.69,0.34,0,25,50,40,Clayey,Pulses,17-17-17,54.8698743802602
251,7.5,359,7.41,0.51,0.68,4.52,0.29,4.56,1.35,12.58,0.69,0,25,50,40,Clayey,Pulses,DAP,64.8192471657006
207,6.8,433,7.57,0.62,0.39,8.14,0.62,8.04,1.74,9.63,0.8,0,25,50,40,Clayey,Pulses,Urea,76.5608290160941
307,7.2,338,7.41,0.42,0.78,11.76,0.47,5.26,0.65,11.53,0.57,1,30,59,31,Red,Tobacco,20-20,63.0727162514617
264,5.3,422,7.67,0.63,0.49,6.64,0.51,9.26,0.84,8.56,0.48,0,25,50,40,Clayey,Pulses,28-28,75.9502864553932
201,7.5,348,7.63,0.43,0.1,5.43,0.38,7.51,1.32,17.59,0.34,0,25,50,40,Clayey,Pulses,10-26-26,61.6158765238613
257,8.1,444,7.62,0.51,0.59,3.62,0.57,8.02,1.85,9.53,0.42,0,25,50,40,Clayey,Pulses,Urea,79.5713742293452
144,5,327,7.71,0.71,0.39,7.84,0.36,5.03,0.69,11.06,0.31,0,25,50,40,Clayey,Pulses,DAP,56.7412362809297
251,5.7,275,7.53,0.54,0.88,9.35,0.47,9.22,1.02,5.09,0.44,0,30,59,31,Red,Tobacco,20-20,50.7328088354257
182,7.5,338,7.51,0.61,0.29,2.8,0.24,2.84,0.94,7.73,0.14,0,25,50,40,Clayey,Pulses,14-35-14,59.4402054322971
289,14.5,549,7.18,0.64,0.26,3.1,0.23,2.44,0.42,6.74,0.24,1,25,50,40,Clayey,Pulses,10-26-26,98.5429585136666
75,8.1,327,7.61,0.51,0.53,4.2,0.25,3.33,0.56,6.75,0.18,0,25,50,40,Clayey,Pulses,20-20,55.7775783913187
220,9,401,7.67,0.62,0.79,3.5,0.23,2.87,0.47,7.76,0.21,0,25,50,40,Clayey,Pulses,28-28,71.2501447961063
282,7,401,7.71,0.48,0.18,2.5,0.24,2.48,0.67,7.64,0.1,1,25,50,40,Clayey,Pulses,Urea,72.8469885171297
195,6.6,391,7.65,0.54,0.24,3.5,0.34,2.43,0.74,4.64,0.12,0,25,50,40,Clayey,Pulses,28-28,68.9650067183377
176,8.6,507,7.67,0.58,0.79,4.8,0.27,3.56,0.64,5.73,0.09,0,25,50,40,Clayey,Pulses,Urea,89.0943216629916
182,7.7,444,7.72,0.56,0.82,4.1,0.27,2.68,0.55,6.77,0.06,0,25,50,40,Clayey,Pulses,DAP,78.0337978367289
226,8.3,465,7.68,0.62,0.5,6,0.27,2.48,0.44,6.77,0.19,0,25,50,40,Clayey,Pulses,14-35-14,82.546567908386
257,7.9,380,7.7,0.64,0.47,7.2,0.34,3.44,0.67,6.84,0.09,0,25,50,40,Clayey,Pulses,28-28,68.5649997414875
276,9.2,338,7.71,0.48,0.76,3.5,0.24,2.54,0.64,7.77,0.12,1,30,59,31,Red,Tobacco,20-20,62.0227325611859
270,9,475,7.65,0.44,0.71,4.8,0.24,3.63,0.74,7.75,0.15,1,25,50,40,Clayey,Pulses,10-26-26,85.2490722549027
295,78.9,454,7.76,0.39,0.41,5.2,0.25,2.74,0.44,8.73,0.21,1,34,65,45,Clayey,Paddy,DAP,82.3678356399761
232,7,465,7.62,0.54,0.44,6.2,0.36,2.82,0.64,8.52,0.1,0,25,50,40,Clayey,Pulses,14-35-14,82.6698987225215
245,9.6,528,7.77,0.52,0.74,3.5,0.27,2.43,0.63,7.46,0.08,0,25,50,40,Clayey,Pulses,Urea,93.9676080952947
251,9,444,7.65,0.6,0.71,4.2,0.28,3.74,0.73,8.63,0.07,0,25,50,40,Clayey,Pulses,DAP,79.4292412494483
213,8.6,433,7.63,0.65,0.24,5.3,0.39,3.74,0.65,7.72,0.18,0,25,50,40,Clayey,Pulses,20-20,76.6806120378195
339,7.5,665,7.6,0.55,0.68,4.2,0.28,3.85,0.43,6.73,0.21,1,25,50,40,Clayey,Pulses,28-28,119.857215993196
351,14.9,327,7.4,0.44,0.82,3.8,0.29,2.46,0.63,7.72,0.1,1,30,59,31,Red,Tobacco,14-35-14,62.9642924028648
264,5,486,7.5,0.46,0.5,4.2,0.27,2.47,0.66,8.75,0.12,0,25,50,40,Clayey,Pulses,10-26-26,87.0240993861019
358,12.3,612,7.3,0.53,0.5,3.5,0.24,2.58,0.74,8.72,0.12,1,25,50,40,Clayey,Pulses,Urea,111.065316108962
370,11.2,655,7.1,0.67,0.24,4,0.23,2.63,0.73,8.43,0.15,1,25,50,40,Clayey,Pulses,10-26-26,118.800124450017
333,7,581,7.8,0.68,0.53,4.1,0.23,3.73,0.75,7.53,0.18,1,25,50,40,Clayey,Pulses,DAP,105.104249255075
282,9.9,391,7.2,0.52,0.15,4.3,0.24,3.77,0.65,7.64,0.1,1,30,59,31,Red,Tobacco,14-35-14,71.1440441483474
257,7.5,887,7.5,0.29,0.79,4.5,0.26,2.84,0.67,6.76,0.12,1,25,50,40,Clayey,Pulses,10-26-26,157.788874058317
301,12.9,634,7.6,0.6,0.82,6,0.24,2.43,0.78,7.68,0.12,1,25,50,40,Clayey,Pulses,Urea,113.65634612909
333,6.6,729,7.2,0.31,0.38,7.1,0.24,2.94,0.83,7.63,0.15,1,25,50,40,Clayey,Pulses,14-35-14,130.953175514644
195,11.2,348,7.1,0.52,0.44,3.5,0.34,2.94,0.94,8.44,0.15,0,25,50,40,Clayey,Pulses,28-28,61.4719285892613
314,11.4,475,7.4,0.31,0.41,4.5,0.26,2.85,0.45,6.58,0.1,1,25,50,40,Clayey,Pulses,10-26-26,86.3580800094195
351,6.8,813,7.5,0.43,0.24,3.5,0.28,2.48,0.12,7.72,0.07,1,25,50,40,Clayey,Pulses,Urea,146.065335791549
339,8.1,549,7.3,0.36,0.26,4.1,0.27,2.58,0.63,7.44,0.09,1,25,50,40,Clayey,Pulses,DAP,99.7203836005678
264,14.3,486,7.4,0.65,0.59,5.2,0.27,2.47,0.45,7.54,0.08,1,25,50,40,Clayey,Pulses,20-20,87.0202183819846
169,5.3,327,7.6,0.34,0.78,4.52,0.26,5.26,1.02,6.32,0.48,0,25,50,40,Clayey,Pulses,Urea,57.2405476836798
333,7.9,465,7.5,0.68,0.88,7.84,0.38,2.51,0.86,15.02,0.59,1,30,59,31,Red,Tobacco,DAP,85.1853315614343
370,9.4,729,7.3,0.59,0.1,5.13,0.51,8.05,0.53,11.25,0.29,1,25,50,40,Clayey,Pulses,14-35-14,131.688915636087
326,6.8,433,7.1,0.57,0.78,6.64,0.24,4.21,1.25,4.51,0.42,1,30,59,31,Red,Tobacco,28-28,79.5547881314559
251,10.7,528,7.4,0.42,0.59,4.22,0.22,9.02,1.03,9.32,0.32,1,25,50,40,Clayey,Pulses,Urea,94.084086900639
301,4.4,507,7.3,0.31,0.29,5.43,0.37,10.52,0.87,10.52,0.67,1,25,50,40,Clayey,Pulses,17-17-17,91.5322232059156
270,10.5,560,7.2,0.3,1.07,6.64,0.48,7.45,1.54,15.33,0.27,1,25,50,40,Clayey,Pulses,20-20,100.070315111017
320,7.5,475,7.1,0.34,0.78,3.62,0.25,6.32,0.96,4.85,0.48,1,25,50,40,Clayey,Pulses,Urea,86.5231423170225
282,9.4,570,7.5,0.65,0.39,5.13,0.39,2.05,1.02,12.06,0.34,1,25,50,40,Clayey,Pulses,28-28,102.064323805441
301,9.9,549,7.6,0.33,0.98,7.54,0.45,8.12,0.53,8.54,0.42,1,25,50,40,Clayey,Pulses,14-35-14,98.8099522134247
295,7,602,7.2,0.68,0.49,9.65,0.26,6.02,0.55,10.26,0.31,1,25,50,40,Clayey,Pulses,DAP,107.931001924519
339,10.3,729,7.4,0.66,0.1,4.22,0.33,7.45,1.23,13.26,0.61,1,25,50,40,Clayey,Pulses,17-17-17,131.066334990215
201,6.6,539,7.5,0.6,0.29,5.43,0.28,4.12,1.09,17.54,0.34,0,25,50,40,Clayey,Pulses,Urea,95.1448179092037
320,7.9,486,7.6,0.59,0.88,6.64,0.27,6.33,0.63,11.02,0.46,1,25,50,40,Clayey,Pulses,28-28,88.4041691766395
289,10.7,549,7.3,0.37,0.39,4.83,0.45,5.02,1.84,19.22,0.17,1,25,50,40,Clayey,Pulses,DAP,98.5437083259445
251,6.8,528,7.2,0.24,0.68,9.65,0.29,9.32,0.53,11.32,0.29,0,25,50,40,Clayey,Pulses,17-17-17,94.0858055993662
276,12.7,612,7.4,0.42,0.59,5.43,0.33,1.54,0.78,7.63,0.5,1,25,50,40,Clayey,Pulses,Urea,109.31371007171
370,11.8,686,7.5,0.61,0.49,7.24,0.26,2.63,0.66,12.05,0.61,1,25,50,40,Clayey,Pulses,28-28,124.188019547025
207,12.3,496,7.6,0.57,0.2,5.73,0.35,8.55,1.25,14.51,0.32,0,25,50,40,Clayey,Pulses,Urea,87.6387364768343
295,7.2,348,7.8,0.55,0.1,7.54,0.24,6.33,1.02,3.25,0.42,1,30,59,31,Red,Tobacco,DAP,64.3144984341885
351,14.7,380,7.9,0.43,0.78,3.92,0.27,4.02,1.84,9.32,0.29,1,30,59,31,Red,Tobacco,20-20,71.534479758029
282,5.5,570,7.3,0.48,1.07,6.64,0.49,3.25,0.59,7.15,0.4,1,25,50,40,Clayey,Pulses,17-17-17,102.066192206337
307,7,422,8,0.56,0.2,5.13,0.32,8.05,0.74,8.21,0.25,1,30,59,31,Red,Tobacco,DAP,77.1321580868449
364,8.6,718,7.4,0.53,0.68,4.22,0.25,1.96,0.48,14.05,0.42,1,25,50,40,Clayey,Pulses,Urea,129.64140243296
257,13.4,433,7.9,0.51,1.17,9.65,0.29,3.02,1.33,15.02,0.32,1,25,50,40,Clayey,Pulses,20-20,77.6669379653037
251,10.5,412,7.3,0.59,0.88,5.43,0.33,4.51,1.42,8.26,0.46,1,25,50,40,Clayey,Pulses,28-28,73.8950316354314
326,9.2,560,7.6,0.64,0.98,8.75,0.45,6.33,0.91,6.23,0.29,1,25,50,40,Clayey,Pulses,14-35-14,101.299877466263
270,6.6,591,7.8,0.3,0.59,3.32,0.28,7.02,0.83,9.24,0.44,1,25,50,40,Clayey,Pulses,Urea,105.511696127912
339,9.6,655,7.3,0.35,0.39,5.13,0.56,3.05,1.02,11.05,0.34,1,25,50,40,Clayey,Pulses,DAP,118.110325663908
207,7.2,581,8.1,0.32,0.1,7.84,0.25,2.08,1.85,17.56,0.63,0,25,50,40,Clayey,Pulses,20-20,102.681035752223
351,9.9,570,7.4,0.36,0.68,9.65,0.33,3.79,1.33,13.05,0.31,1,25,50,40,Clayey,Pulses,28-28,103.640598159194
282,8.3,708,7.2,0.68,0.88,5.43,0.26,2.6,0.87,6.33,0.17,1,25,50,40,Clayey,Pulses,DAP,126.347100374252
151,6.8,517,7.3,0.75,0.2,4.22,0.27,6.52,0.62,11.36,0.4,0,25,50,40,Clayey,Pulses,Urea,90.5425576969212
295,9.9,486,7.4,0.21,0.39,6.64,0.32,3.21,1.25,5.25,0.23,1,25,50,40,Clayey,Pulses,14-35-14,87.7556051659557
270,7.9,612,7.5,0.45,0.59,5.43,0.28,4.21,0.94,7.32,0.34,0,25,50,40,Clayey,Pulses,28-28,109.204176175307
238,3.9,391,7.6,0.57,0.1,8.75,0.51,2.15,0.63,13.54,0.61,0,25,50,40,Clayey,Pulses,Urea,69.9536181171217
264,9.4,876,7.8,0.38,0.29,3.92,0.26,3.51,0.69,11.68,0.46,1,25,50,40,Clayey,Pulses,14-35-14,155.913785218404
370,9.2,644,7.9,0.61,0.78,5.13,0.33,7.21,1.25,3.47,0.36,1,25,50,40,Clayey,Pulses,DAP,116.893168272489
289,7.5,486,7.8,0.46,1.17,6.64,0.27,3.02,1.85,5.69,0.69,1,25,50,40,Clayey,Pulses,17-17-17,87.6086357396414
251,9.4,454,7.8,0.39,0.88,4.52,0.48,2.77,0.87,8.23,0.53,0,25,50,40,Clayey,Pulses,DAP,81.1647588031321
320,8.1,507,8.3,0.65,0.1,8.45,0.52,5.66,1.32,14.05,0.4,1,25,50,40,Clayey,Pulses,20-20,92.0070935230385
333,7.7,570,7.4,0.37,0.98,4.22,0.26,3.14,1.54,19.25,0.55,1,25,50,40,Clayey,Pulses,14-35-14,103.198893097185
282,4.8,560,7.8,0.45,0.88,9.95,0.39,6.02,0.86,13.42,0.73,1,25,50,40,Clayey,Pulses,28-28,100.317761981597
264,7.9,602,7.6,0.49,0.1,4.83,0.51,4.22,0.53,5.15,0.48,0,25,50,40,Clayey,Pulses,Urea,107.334438115659
257,6.8,475,7.5,0.41,0.78,8.45,0.28,4.05,0.84,6.8,0.23,0,25,50,40,Clayey,Pulses,DAP,84.9525749888767
276,12.9,517,7.6,0.48,0.59,4.52,0.47,3.39,1.02,14.5,0.27,1,25,50,40,Clayey,Pulses,14-35-14,92.6828930196569
364,8.3,581,7.8,0.43,0.68,9.95,0.25,4.22,1.98,16.23,0.5,1,25,50,40,Clayey,Pulses,20-20,105.865418149696
358,11.2,591,7.9,0.59,1.17,4.22,0.32,2.58,1.25,5.47,0.73,1,25,50,40,Clayey,Pulses,28-28,107.436463707354
351,11,539,7.3,0.51,0.88,6.64,0.29,5.33,1.05,8.32,0.34,1,25,50,40,Clayey,Pulses,Urea,98.3116814151342
370,7,623,7.4,0.65,1.27,5.13,0.33,4.21,1.47,9.24,0.32,1,25,50,40,Clayey,Pulses,14-35-14,113.259372320537
314,7.2,528,7.9,0.69,0.78,6.33,0.45,2.63,0.96,11.06,0.5,1,25,50,40,Clayey,Pulses,28-28,95.4764955587467
201,6.8,433,7.23,0.33,0.49,4.83,0.26,4.05,0.43,4.78,0.25,0,25,50,40,Clayey,Pulses,20-20,76.4433047056232
213,7.5,475,7.16,0.3,0.1,6.64,0.38,6.21,0.58,19.25,0.4,0,25,50,40,Clayey,Pulses,Urea,84.0497331266227
169,8.3,570,7.03,0.36,0.68,5.13,0.6,7.22,0.85,3.89,0.34,0,25,50,40,Clayey,Pulses,DAP,100.208719731565
201,5.9,560,7,0.42,0.88,8.14,0.48,6.05,1.02,6.02,0.55,0,25,50,40,Clayey,Pulses,17-17-17,98.8675396723064
270,5,602,7,0.36,0.39,10.56,0.32,3.54,1.47,11.57,0.67,0,25,50,40,Clayey,Pulses,28-28,107.446272787696
238,7,475,6.96,0.44,1.17,5.73,0.28,5.63,1.25,5.32,0.52,0,25,50,40,Clayey,Pulses,Urea,84.5426940300245
176,6.1,444,9.97,0.35,0.78,8.14,0.74,4.36,0.54,12.05,0.34,0,25,50,40,Clayey,Pulses,20-20,77.9341315024902
245,8.6,454,7,0.36,0.1,9.95,0.59,3.05,0.63,7.48,0.55,0,25,50,40,Clayey,Pulses,17-17-17,81.0296518820511
201,7.2,454,7.16,0.4,0.39,8.75,0.32,4.63,0.95,6.32,0.69,0,25,50,40,Clayey,Pulses,DAP,80.1337292193593
207,7.2,655,7.02,0.32,0.59,5.43,0.48,5.74,1.25,14.85,0.53,0,25,50,40,Clayey,Pulses,Urea,115.830912965965
257,5.3,644,7.01,0.33,0.29,9.95,0.62,5.63,1.39,12.05,0.71,0,25,50,40,Clayey,Pulses,20-20,114.623125641015
220,7.5,539,7.05,0.38,0.68,12.07,0.43,8.52,0.78,8.62,0.29,0,25,50,40,Clayey,Pulses,28-28,95.4528973870751
295,5.5,412,7,0.41,0.49,7.84,0.24,3.55,0.54,13.47,0.53,1,30,59,31,Red,Tobacco,10-26-26,75.0893663454976
213,5.9,454,7.05,0.37,0.29,5.43,0.51,3.02,1.25,9.06,0.36,0,25,50,40,Clayey,Pulses,Urea,80.3620767794859
201,6.8,475,7.07,0.26,0.1,3.92,0.38,4.15,0.39,13.26,0.63,0,25,50,40,Clayey,Pulses,DAP,83.8326916293202
345,6.8,475,7,0.67,0.88,5.13,0.5,6.52,0.41,14.15,0.27,1,30,59,31,Red,Tobacco,20-20,87.2299399540079
188,5.9,539,7.14,0.6,0.39,8.45,0.46,7.54,1.05,11.25,0.53,0,25,50,40,Clayey,Pulses,14-35-14,94.9501099924535
207,6.8,560,7.17,0.66,0.78,6.94,0.32,6.32,1.39,10.25,0.5,0,25,50,40,Clayey,Pulses,10-26-26,98.9579343346632
320,8.3,591,7.08,0.39,0.2,5.13,0.33,8.05,0.25,18.25,0.25,0,25,50,40,Clayey,Pulses,20-20,106.542332618248
220,5.7,591,7.12,0.3,0.59,6.64,0.46,3.59,1.36,9.05,0.32,0,25,50,40,Clayey,Pulses,28-28,104.651530498902
213,7,623,7.1,0.32,0.29,5.73,0.59,5.55,1.08,12.06,0.29,0,25,50,40,Clayey,Pulses,Urea,110.223553478932
264,7.5,655,7.19,0.65,0.98,7.24,0.38,8.06,0.65,13.22,0.42,0,25,50,40,Clayey,Pulses,28-28,116.682362905175
195,8.1,612,7.15,0.64,0.1,3.32,0.26,3.47,0.93,11.52,0.34,0,25,50,40,Clayey,Pulses,Urea,108.020410247081
182,7.5,465,7.31,0.52,0.88,7.84,0.7,9.55,0.84,10.52,0.63,0,25,50,40,Clayey,Pulses,DAP,81.7443830011463
201,6.4,444,7.14,0.59,0.2,3.92,0.63,4.85,1.23,7.54,0.17,0,25,50,40,Clayey,Pulses,14-35-14,78.3757228003047
232,7.5,750,7.16,0.62,0.68,7.24,0.4,3.86,1.58,9.06,0.29,0,25,50,40,Clayey,Pulses,28-28,133.066782239981
169,7.2,718,7.17,0.82,0.1,11.46,0.49,7.54,1.04,8.52,0.32,0,25,50,40,Clayey,Pulses,20-20,126.641802338096
238,5.7,655,7.21,0.59,0.88,7.54,0.53,4.25,0.68,12.03,0.5,0,25,50,40,Clayey,Pulses,10-26-26,116.269300705584
